Query	Quality Threshold	Repetition	Unfairness
Query 2	θ = 0.28	107442	0.01
Query 1	θ = 0.78	30632	0.197606
Query 2	θ = 0.28	9302	0.01
Query 2	θ = 0.98	72791	0.051312
Query 2	θ = 0.88	78841	0.054120
Query 2	θ = 0.48	74797	0.01
Query 2	θ = 0.88	68946	0.058634
Query 2	θ = 0.28	111250	0.02
Query 2	θ = 0.28	17337	0.01
Query 3	θ = 0.28	68647	0.01
Query 3	θ = 0.28	110607	0.01
Query 3	θ = 0.98	183754	0.240957
Query 3	θ = 0.88	149257	0.176880
Query 1	θ = 0.48	16657	0.076172
Query 2	θ = 0.78	89748	0.04
Query 3	θ = 0.78	144269	0.093274
Query 2	θ = 0.98	169498	0.088291
Query 2	θ = 0.48	58229	0.01
Query 2	θ = 0.88	12335	0.088573
Query 3	θ = 0.48	104540	0.01
Query 1	θ = 0.28	32111	0.01
Query 3	θ = 0.48	16534	0.060777
Query 2	θ = 0.88	72626	0.056926
Query 2	θ = 0.48	50929	0.01
Query 1	θ = 0.48	106878	0.023912
Query 1	θ = 0.88	19780	0.303611
Query 3	θ = 0.28	118138	0.01
Query 1	θ = 0.78	28324	0.198731
Query 1	θ = 0.88	163290	0.228017
Query 3	θ = 0.88	81870	0.203279
Query 2	θ = 0.78	85911	0.02
Query 2	θ = 0.98	22793	0.019665
Query 2	θ = 0.78	184820	0.03
Query 2	θ = 0.98	76899	0.053420
Query 1	θ = 0.78	189864	0.092758
Query 2	θ = 0.88	133604	0.032196
Query 2	θ = 0.28	98375	0.01
Query 1	θ = 0.48	107754	0.023477
Query 3	θ = 0.78	128630	0.099313
Query 1	θ = 0.88	76965	0.268662
Query 1	θ = 0.28	79394	0.01
Query 1	θ = 0.48	64692	0.046121
Query 2	θ = 0.78	85535	0.05
Query 2	θ = 0.78	48536	0.05
Query 2	θ = 0.88	35730	0.075259
Query 2	θ = 0.88	133856	0.032106
Query 2	θ = 0.88	125755	0.035054
Query 3	θ = 0.48	164954	0.02
Query 2	θ = 0.28	176314	0.01
Query 2	θ = 0.48	40321	0.01
Query 1	θ = 0.98	67864	0.230490
Query 2	θ = 0.78	93740	0.05
Query 1	θ = 0.98	57581	0.219907
Query 3	θ = 0.78	25848	0.146516
Query 2	θ = 0.28	38463	0.01
